"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","bas_val","ext_xmin","ext_xmax","ext_ymin","ext_ymax","HRT_sec","T_AIR","HRT","Wind","basin_id"
1359198,NA,"Romania","Europe","SWBD",1,0,0.28,2.52,1.34,0.36,0,3,1.3,0.039,105.6,0,0.27,24,29.054608,45.26287,1,29.0419547526043,29.0555452473959,45.2606944444443,45.2640641276039,1368576000,12.4668197631836,1368576000,NA,"danube"
1359260,NA,"Romania","Europe","SWBD",2,3861,0.92,9.55,2.81,53.7,53.7,2,58.6,6.266,99.2,630,13.35,336,25.736458,45.248481,1,25.7270959472654,25.7447144232854,45.2465277777776,45.2749924045137,1285632000,8.37485599517822,1285632000,3.26424837112427,"danube"
1359290,NA,"Romania","Europe","SWBD",1,0,0.45,7.64,3.2,3.16,0,3,7,119.501,0.3,271,7.97,15041.6,24.346251,45.241208,1,24.3238916015625,24.3475043402778,45.2406944444448,45.2616552734377,3888000,8.37485599517822,3888000,3.26424837112427,"danube"
1359319,NA,"Republic of Serbia","Europe","SWBD",1,0,0.68,6.62,2.26,2.65,0,3,3.9,0.105,292.2,69,2.08,28.6,19.538484,45.235289,1,19.52046061198,19.5402723524314,45.2275054253472,45.2416612413194,3786912000,10.4501285552979,3786912000,3.70255374908447,"danube"
1359366,NA,"Romania","Europe","SWBD",1,0,0.55,3.69,1.4,1.01,0,3,1.8,1.774,6.6,2,0.47,489,27.713277,45.221995,1,27.7045960828993,27.7162065972221,45.2143055555554,45.2233181423609,85536000,10.5195283889771,85536000,4.14860963821411,"danube"
1359371,NA,"Romania","Europe","SWBD",1,0,0.1,1.76,1.53,0.26,0,3,2.5,0.358,8.4,56,1.45,62.4,27.118892,45.220527,1,27.1138967556424,27.1210837131075,45.2187499999998,45.2228000217012,108864000,10.5195283889771,108864000,4.14860963821411,"danube"
1359382,NA,"Romania","Europe","SWBD",1,0,0.14,2.03,1.52,0.29,0,3,2.1,0.214,16,65,0.95,35.8,27.092595,45.217204,1,27.0858436414929,27.0953805881075,45.215843641493,45.2188785807292,207360000,10.5195283889771,207360000,4.14860963821411,"danube"
1359383,NA,"Romania","Europe","SWBD",1,0,0.4,5.45,2.45,3.23,0,3,8.2,0.272,137.5,594,11.61,48.7,22.022917,45.216951,1,22.0125052897134,22.0269520399304,45.2023611111114,45.2190283203128,1.782e+09,8.57011222839355,1.782e+09,3.34527611732483,"danube"
1359395,NA,"Romania","Europe","SWBD",1,0,0.15,2.86,2.05,0.89,0,3,5.7,0.384,26.8,828,7.44,62.2,22.14612,45.213604,1,22.1369523111978,22.146658799913,45.2106944444447,45.2174924045141,347328000,8.57011222839355,347328000,3.34527611732483,"danube"
1359396,NA,"Romania","Europe","SWBD",1,0,0.72,6.78,2.25,1.69,0,3,2.3,1.627,12,0,0.71,440.4,27.719792,45.213722,1,27.7153792317708,27.7267073567708,45.1931944444443,45.2161577690971,155520000,10.5195283889771,155520000,4.14860963821411,"danube"
1359403,NA,"Republic of Serbia","Europe","SWBD",1,0,0.8,4.38,1.38,1.69,0,3,2.1,41.698,0.5,66,0.56,9617.2,20.499172,45.211594,1,20.4983436754013,20.5191563245984,45.2095833333336,45.2191563585072,6480000,10.4501285552979,6480000,3.70255374908447,"danube"
1359408,NA,"Romania","Europe","SWBD",1,0,0.71,5.17,1.73,1.1,0,3,1.5,0.073,175,0,0.31,33.6,28.68131,45.210328,1,28.6735397677952,28.6879546440973,45.1981944444444,45.2127235243054,2.268e+09,10.5195283889771,2.268e+09,4.14860963821411,"danube"
1359438,NA,"Republic of Serbia","Europe","SWBD",1,0,0.35,2.4,1.14,0.6,0,3,1.7,41.597,0.2,66,0.48,9577.8,20.514437,45.205712,1,20.5095323011609,20.5190547688801,45.2020833333336,45.2083257378475,2592000,10.4501285552979,2592000,3.70255374908447,"danube"
1359465,NA,"Romania","Europe","SWBD",1,0,0.21,2.2,1.36,0.74,0,3,3.6,4.5,1.9,457,2.54,491.2,24.663542,45.198879,1,24.6621229383681,24.6666813151042,45.1976388888892,45.205611979167,24624000,8.37485599517822,24624000,3.26424837112427,"danube"
1359717,NA,"Croatia","Europe","SWBD",1,0,0.51,3.32,1.32,0.66,0,3,1.3,0.598,12.8,85,0.24,69,17.830397,45.139506,1,17.820005425348,17.8324945746535,45.1365277777778,45.1441612413194,165888000,11.6805477142334,165888000,3.90180397033691,"danube"
1359751,NA,"Romania","Europe","SWBD",1,0,0.79,6.12,1.94,2.55,0,3,3.2,5.277,5.6,1,1.35,1309.7,28.190625,45.129938,1,28.1836189778646,28.2002699110242,45.1218055555555,45.1333257378472,72576000,10.5195283889771,72576000,4.14860963821411,"danube"
1359753,NA,"Republic of Serbia","Europe","SWBD",1,0,0.41,4.4,1.93,2.12,0,3,5.1,0.084,291.9,123,4.35,21.2,19.428312,45.128862,1,19.4273253038204,19.4450029839418,45.1284722222222,45.1421706814235,3783024000,10.4501285552979,3783024000,3.70255374908447,"danube"
1359768,NA,"Romania","Europe","SWBD",1,0,0.11,1.61,1.38,0.18,0,3,1.7,0.377,5.6,50,0.64,61.1,27.098958,45.126348,1,27.0941769748262,27.1024896918402,45.1248611111109,45.1275813802082,72576000,10.5195283889771,72576000,4.14860963821411,"danube"
1359781,NA,"Croatia","Europe","SWBD",1,0,0.46,5.01,2.08,1.25,0,3,2.7,9.739,1.5,74,1.1,1374.2,18.871998,45.120631,1,18.8609250217021,18.873327907987,45.1179166666666,45.1264762369791,19440000,10.4501285552979,19440000,3.70255374908447,"danube"
1359892,NA,"Romania","Europe","SWBD",1,0,0.3,3.13,1.61,0.33,0,3,1.1,3.339,1.1,97,0.19,736.8,21.564583,45.086234,1,21.5608959960936,21.5719597710503,45.0848611111114,45.0916357421878,14256000,8.57011222839355,14256000,3.34527611732483,"danube"
1359917,NA,"Republic of Serbia","Europe","SWBD",1,0,0.27,2.66,1.46,1.24,0,3,4.7,0.066,217.8,141,4.14,19.5,19.915532,45.07796,1,19.9104882812508,19.9178309461815,45.0759722222221,45.0851801215277,2822688000,10.4501285552979,2822688000,3.70255374908447,"danube"
1359926,NA,"Republic of Serbia","Europe","SWBD",1,0,0.85,6.97,2.13,1.96,0,3,2.3,0.075,302.9,68,0.66,26.2,20.428612,45.076001,1,20.4269472249348,20.4399972195093,45.0723611111114,45.0900249565975,3925584000,10.4501285552979,3925584000,3.70255374908447,"danube"
