"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","HRT","T_AIR","HRT_sec","Wind","basin_id","Pour_long","Pour_lat"
14353,"Thau","France","Europe","SWBD",1,0,68.64,69.32,2.36,254.72,0,3,3.7,6.39,461.4,-2,1.01,367,39864960,13.3913908004761,39864960,7,"209108",3.701278,43.419662
171856,NA,"France","Europe","SWBD",1,0,1.05,6.93,1.91,1.15,0,3,1.1,0.305,43.5,-2,0.54,19.5,3758400,13.3913908004761,3758400,7,"209108",3.525108,43.32683
1362992,NA,"France","Europe","SWBD",1,0,0.65,7.04,2.47,6.01,0,3,9.3,8.107,8.6,167,12.97,444.7,743040,14.9195804595947,743040,7,"209252",6.210915,43.463138
1363481,NA,"Spain","Europe","SWBD",2,2657,0.13,2,1.55,12.3,12.3,2,93.2,1.808,78.7,756,18.34,88.1,6799680,11.0927495956421,6799680,7,"209487",-4.390625,43.131019
1298,"Berre","France","Europe","SWBD",1,0,159.05,77.96,1.74,3703.98,0,3,23.3,15.138,2832,0,3.63,1569.2,244684800,14.9195804595947,244684800,7,"209560",5.057652,43.405181
171811,NA,"France","Europe","SWBD",1,0,5.53,12.99,1.56,8.52,0,3,1.5,1.023,96.4,-1,0.45,114.1,8328960,14.9195804595947,8328960,7,"209560",5.17446,43.416923
1362803,NA,"France","Europe","SWBD",2,3457,0.43,6.41,2.75,25,25,2,57.9,0.441,656.1,326,8.67,39.2,56687040,14.9195804595947,56687040,7,"209560",5.536948,43.540778
1261,"Geneva","Switzerland","Europe","SWBD",1,0,571.63,177.97,2.1,89000,0,1,155.7,260.212,3958.7,370,-1,7969,342031680,6.41371488571167,342031680,7,"209878",6.149862,46.205924
14081,NA,"France","Europe","SWBD",2,3351,14.44,69.68,5.17,605,605,2,41.9,44.026,159,428,14.61,1075.2,13737600,8.3361291885376,13737600,7,"209878",5.665855,46.398224
14151,NA,"France","Europe","SWBD",1,0,25.54,35.56,1.98,780.3,0,3,30.5,5.617,1607.8,447,7.74,271.8,138913920,9.7982120513916,138913920,7,"209878",6.132976,45.900693
14167,NA,"France","Europe","SWBD",1,0,42.56,43.46,1.88,2934.29,0,3,68.9,11.826,2871.8,230,14.08,594.1,248123520,9.7982120513916,248123520,7,"209878",5.827996,45.804788
14284,NA,"France","Europe","SWBD",2,3433,17.65,50.89,3.42,1270,1270,2,72,51.762,284,757,10.41,3563.7,24537600,9.2461633682251,24537600,7,"209878",6.277083,44.473472
14327,NA,"France","Europe","SWBD",2,3450,18.73,40.75,2.66,767,767,2,41,22.074,402.2,470,7.19,1563.1,34750080,9.7982120513916,34750080,7,"209878",6.141259,43.737135
168703,NA,"France","Europe","SWBD",1,0,1.38,5.96,1.43,4.06,0,3,2.9,1.273,36.9,295,1.57,105.2,3188160,8.3361291885376,3188160,7,"209878",5.317551,47.740826
169256,NA,"France","Europe","SWBD",1,0,3.98,14.25,2.01,47.42,0,3,11.9,10.702,51.3,848,5.65,274.1,4432320,6.41371488571167,4432320,7,"209878",6.335463,46.838062
169311,NA,"France","Europe","SWBD",1,0,1.09,4.69,1.27,7.7,0,3,7.1,0.894,99.7,846,4.83,25.9,8614080,6.41371488571167,8614080,7,"209878",6.268585,46.77667
169402,NA,"France","Europe","SWBD",1,0,2.12,7.04,1.36,38.11,0,3,18,1.986,222.1,486,11.5,58.2,19189440,8.3361291885376,19189440,7,"209878",5.78125,46.6757
169786,NA,"France","Europe","SWBD",2,3361,2.96,18.1,2.97,36,36,2,12.2,69.573,6,305,14.29,1784.6,518400,8.3361291885376,518400,7,"209878",5.593949,46.294845
169947,NA,"France","Europe","SWBD",1,0,1.26,5.81,1.46,29.71,0,3,23.5,0.616,558.3,473,18.87,21,48237120,9.7982120513916,48237120,7,"209878",5.574646,46.165698
170013,NA,"France","Europe","SWBD",2,3369,1.23,16.83,4.29,19,19,2,15.5,91.256,2.4,270,12.83,2505.7,207360,9.7982120513916,207360,7,"209878",5.422737,46.112361
170051,NA,"Switzerland","Europe","SWBD",2,3371,2.05,11.41,2.25,400,400,2,194.7,1.301,3558.5,2283,21.29,45.9,307454400,9.2461633682251,307454400,7,"209878",7.402098,46.079618
170065,NA,"Switzerland","Europe","SWBD",2,3372,1.57,8.75,1.97,227,227,2,144.1,0.798,3292.4,1869,17.59,29,284463360,9.2461633682251,284463360,7,"209878",6.930304,46.069125
170085,NA,"France","Europe","GRanD",2,3373,3.33,46.51,7.19,56,56,2,16.8,356.583,1.8,350,10.77,10878.2,155520,9.7982120513916,155520,7,"209878",5.813657,46.053323
170147,NA,"Switzerland","Europe","SWBD",2,3379,1.14,7.69,2.03,211.5,211.5,2,185.2,3.277,747,1889,32.99,110.1,64540800,9.2461633682251,64540800,7,"209878",7.348808,45.996789
170466,NA,"France","Europe","SWBD",2,3394,1.96,9.33,1.88,187,187,2,95.4,0.801,2702.1,1510,17.43,40.6,233461440,9.2461633682251,233461440,7,"209878",6.622928,45.684158
170589,NA,"France","Europe","SWBD",1,0,5.2,13.71,1.7,97.89,0,3,18.8,1.312,863.5,375,8.85,68.2,74606400,9.7982120513916,74606400,7,"209878",5.777883,45.544123
170632,NA,"France","Europe","GRanD",2,3398,2.43,8.3,1.5,235,235,2,96.6,3.506,775.8,1693,28.01,173.2,67029120,9.2461633682251,67029120,7,"209878",6.93164,45.493167
170677,NA,"France","Europe","SWBD",1,0,3.45,11.59,1.76,48.44,0,3,14,0.834,672.2,492,7.21,47.6,58078080,9.7982120513916,58078080,7,"209878",5.51875,45.436361
170940,NA,"France","Europe","SWBD",2,3413,1.03,5.2,1.45,39.5,39.5,2,38.4,0.328,1393.8,2059,23.92,22.3,120424320,9.2461633682251,120424320,7,"209878",6.58125,45.179823
171092,NA,"France","Europe","SWBD",1,0,1.14,5.97,1.58,14.99,0,3,13.1,0.61,284.4,910,9.87,37.8,24572160,9.7982120513916,24572160,7,"209878",5.77876,45.021268
